piso,pend,tope,limite,costo_nuevo,costo_viejo,diferencia_metodo,diferencia_limite_boot,media_boot,std_boot,80_IC_inferior,95_IC_inferior,porcentaje_inferior_0,DOBLE_diferencia_limite_boot,DOBLE_80_IC_inferior,DOBLE_95_IC_inferior,DOBLE_media_boot,DOBLE_std_boot,DOBLE_porcentaje_inferior_0,MITAD_MAS_diferencia_limite_boot,MITAD_MAS_80_IC_inferior,MITAD_MAS_95_IC_inferior,MITAD_MAS_media_boot,MITAD_MAS_std_boot,MITAD_MAS_porcentaje_inferior_0
8000,100,60000,1500000,786000,686400,-99600,"[499100 544000 185300 204800 367500 -63600 720500 581600 469000 269900
 514300 487800 300900 572200 808100 560400 706400 273800 543800 156700
 504800 256500 820200 478200 424700 823000 652700 193600 600600 213800
 354300 590500 562900 166100 322800 429400  14800 373000 796500 371900
 401800 246700 222100 203500 326800 819700 237800 155700 334700 562800
 141300 360400 436700 448200 167400 419100 476700 359600 562700 678000
 178700 285000 631300 267500 652400  30200 509400  96600 -65500 284100
 544400 731100 218700 708800 574900 632500 688700 531400 634400 528300
 595100 652900  51900 -84800 610800 539800 646900 631900 400400 538900
  87100 546800  95300 201300 593800 608700 335100 313300 521300 526000]",422899.0,217513.7289896893,-80978.6,-83844.65,0.03,"[   8200  142500  125300  140300 -274300  -59400   37100 -176900  -10200
   10800  139800   91400 -161800   82400 -143200  -54500    8700 -271600
   -1500    -900 -165100 -105600  -64100  -34300   77000  -15400 -350600
  -60400  160100 -196900   -9400    4400   78100 -314600 -165000 -161000
  -96000  -29200 -119900 -114200    7700  212600 -148800 -148000   43800
 -197100 -231500  -30400  103700   42900 -107200  -29600   84100  184400
 -197800  -49500  -92600     200  -52000  132800   27400 -101400  -44900
 -153500   77200  -30200 -167300  -31100  -50200  -14900 -169500 -181900
    9700   -2500 -105900 -192300  160700   70000 -146800 -137300   81800
  204900  -61100 -284200 -124800    8300 -271300  -85500  114100 -137400
   73300 -224200 -210600  -37900  100000  -97600 -104300 -189900  -63700
 -112500]",-343472.0,-348818.0,-51295.0,123406.1419662733,0.66,"[277000 254800 425300 205400 325000 302100 262300 400400 356100 340600
 391600 219000 289200 233400 276000 355900 501100 272400 455800 324700
 121800 341300 395400 348100 226200 280900 260800 380100 286100 314300
 395400 330300 287500 278500 370300 201400 341400 397700 268400 510600
 309800 280000 192700 243100 285000 335200 389600 434800 329400 321700
 467400 146100 199100 208800 564900 242300 217800 344600 232100  66300
 321300 122300 317700 332000 218600 154100 290100 235300 177800 272800
 274300 191900 463300 259800 311800 297800 449700 429100 168000 315400
 137100 321400 239700 207800 369600 445900 267600 265700 362300 397300
 260200 431200 401300 229600 422500 423000 298800 294600 173800 386600]",77289.0,69047.25,305544.0,93511.1216059352,0.0
8000,100,75000,1500000,845200,686400,-158800,"[  77000  546200  409200  170600  104800   37300   69600  578800  294900
   86700  531300   31200 -139100  128800  275200  224700  243500  697800
  194200  227200  325700   93500  656100  117000  155300  406100 -139700
  607000  603700  285700    -900  533900  441500   35800  278800  310600
  464700  335800  199600  426100  251200  227600  -28000  588100  340100
  395000  404200  276200  272900  246500  446700  608500  133900  318200
  567500  116600  257200   38600  500300   41400  137900  665100  513500
  314600  406800  447700  183800  381800  285900   -9200  675400  651900
   59100  637900  352600  633200   73500  367800  100800  501200  530200
  102400  239100  695400  326200  281000  456200  726400  503500  363800
  430100  111800   52200  560000  558300  458400  739000 -301600  483700
  125400]",317517.0,221783.81052502457,-269543.8,-293585.95,0.06,"[-357000 -476400 -265000 -144200    8900 -531700  200700   -1600 -100400
 -208100 -267700 -241100 -219700 -280500  -49400  -90700 -153200 -464200
   27900 -262400 -214400 -348300 -221700 -169700 -335800   21200 -226500
 -205700 -290700  140400 -155300 -132800 -345900 -284200 -287800 -448000
 -111400 -246300 -176300 -231900 -233600 -303200   79500 -102300  -80200
 -170200 -132100 -238600 -155300 -226800 -200800 -214700 -299900 -111400
 -240400 -270400 -513100 -120900 -301600 -143500 -165200 -278900 -286700
  -10300  -89800 -307500 -154700  -23800 -393200 -412000 -324000 -191000
   20000  -95200 -116600 -496100 -261200   49000 -162600  -79400 -150700
   76900 -120500 -259800   -9000 -243700 -210400 -232700  -50800  -27600
 -216000 -186900 -179600 -535700 -405500 -196700 -184900 -556800 -152300
  140600]",-552622.2000000001,-555755.55,-196077.0,150556.85959463954,0.9,"[352200 273100 153100 108100 297800 253800 -14700 -57400 211700 238300
 451100 225900  64800 305700 244400 251800 476700 129500 -18600 219300
 380600 -27500 223500 155000  28400 128800 149600 248100 231700 240900
 263400 324100 199000 258800 243800 172300 156100 213500  81100 343700
 345000 270800 196900 353200 282500 207100 147600 300900 293000 145400
 221900 343800 482900 297500  91000 160400 167000  61000 117100  86600
 367000 129600 260400  32400 228100  65000 393500 315600 -18400 291000
 178500 398600 209500 163900  47900 403300 -29000 178100 403000 277800
 268500  76800 264200 272300 141200 143300 164900  68000 311300 229400
 184600  92500 246800 258700 183400 359100  22200 299100  71500 327900]",-51776.8,-55994.2,210346.0,118343.16238803153,0.06
8000,150,60000,1500000,941700,686400,-255300,"[ 116800  294000 -174650 -295000  497050  165300  539550  193350  139750
  121100  -51550  -18950  123850  -19950  126450   61500  108000  296100
  461350  446600  454650  -97700  463300  339550   40450  102100  522700
   82600  509800  329100  115550  -88400  229300  227050  170450   63350
   66550  558750  188400  234400  -11650   20400  356150  483750  452050
   19500  551850  174350  263800  210600  373500 -144350   64550  -16500
  154800  190300   27750  307300  302650  389800  159500 -114100 -113250
 -108000   12350  418800  269350  637800 -159900  699550   69050  161650
  513300   25400  330550 -115450 -248050  115800  249200  388050  414650
  511350  646650  602200 -226600  284500   37800  494150  -93300  431950
  269750  275450    9650  603450  156900  556350   24550  423450  116200
  550850]",210947.5,231837.9489400948,-285703.9,-292675.975,0.18,"[-496000 -104550 -575950 -300450 -312300 -285350 -290800 -347950 -349750
 -306750 -273800 -386150 -261650 -475000 -389050 -513400 -338150 -422250
 -418600 -312500 -313800 -354550 -360950 -380400 -612100 -329000 -370850
 -342350 -278500 -502050 -322050 -567550 -335450 -304450 -428700 -328250
 -212250 -386850 -379050 -507300 -454450 -476950 -359850 -348850 -222100
 -456150 -228800 -303750 -288100 -190050 -360800 -261450 -219250 -293950
 -213800 -373800 -459700 -445150 -562300 -329500 -404400 -285400 -277050
 -504750 -120050 -274850 -288800 -298600 -222900 -449150 -457950 -287450
 -314750 -282750 -433150 -114550 -408350 -401200 -446000 -518200 -448150
 -527750 -505950 -435100 -458650 -417950 -474350 -380700 -306450 -275600
 -214850 -273550 -354800 -388250 -330450 -311000 -497100 -342950  -83850
 -299150]",-604942.3,-610310.5750000001,-357425.0,105785.5161399707,1.0,"[ 129600  282300  -36900   15150  138600  116700  -34850  -28600   -7250
  -86400   49900  -11450   63650   14450 -101600   43400   65100   78600
   27550  146350   45250  240700  138000  118850   21600   32750   50300
   76900   57200   30050   91800   55550  118300  195850  150150  186900
  238850   35000  108650   19350   14800   54700   72800  177450  177850
  -24550  257000  123200   79600    7800   74350   27000   76000  233150
  129800  173800   82000   50450  141050   46250   52550  -50150  188750
  162250  192650   44200   73150  192550  207200  143300  147950  -26950
  140100  105150  155300  -27500  108850  269300  101200  130850  173800
   13050  322600  132400  205200   52950  121450  111100   44150  127600
  140700  219050  112200  209050  -15050  127400   14100  112300   26350
   94500]",-98590.40000000001,-100847.6,95064.0,83630.64602165883,0.12
8000,150,75000,1500000,1036000,686400,-349600,"[ 393200  537600   -1300  430150  199600   35600  -57000 -224450  136700
   15750  101000  198900  -44500   61800  282700  415550  122800   29350
  244300  289300  281050 -340200 -283600 -174450  479400  493350 -235050
   33950  -81400 -359900 -381300  425050 -449300 -351700  229600  -56750
  261500  422500  522250  193600  178050 -156000  218800  226200  178500
  115900  -47100  316500  -10950  526200 -420800 -373600  -64050  154550
  133000 -250350    5000 -218500 -210750  106200   12650  333100  255550
 -297250  581750  -52400 -242850  207350  184200  192550   90550  319700
  235150 -369350  228750  236450  408050 -153800   43050  211650 -132600
 -349600  186100  -74700  104950 -209850  332900  600350  -87500  320500
   89600 -101700 -365300  226300   23100 -241700  -98650  274350  422150
  140400]",76864.0,259825.83186434716,-443657.00000000006,-447889.25,0.37,"[-632800 -401950 -640950 -388000 -722550 -811550 -563850 -444000 -529100
 -731200 -622950 -312050 -621450 -599200 -577650 -583900 -579900 -530100
 -378350 -433350 -480150 -485650 -389850 -564650 -501250 -362550 -614700
 -526950 -489800 -591750 -416400 -596550 -420750 -521850 -547300 -542550
 -494150 -625850 -502350 -510500 -466950 -652850 -597500 -551350 -808500
 -508250 -542400 -552300 -660350 -552950 -475050 -731750 -622100 -365900
 -616100 -583000 -283550 -475700 -570550 -586850 -513700 -662900 -447950
 -547250 -453100 -529100 -405150 -591250 -515100 -621900 -271050 -492700
 -292550 -379500 -697250 -481450 -661700 -539850 -368600 -602850 -731450
 -432350 -535700 -477700 -511950 -583600 -469850 -612050 -706850 -864800
 -445200 -466050 -434500 -476500 -573500 -309600 -558400 -541200 -573250
 -507600]",-854256.5000000001,-862164.125,-533813.5,113638.09305312193,1.0,"[   3800   26000 -215700 -250000  -88550  -54450  -78950 -108250 -102000
   55300  198600   28450 -181300  -74400  -11200  -68550  -38900 -119900
 -124350   31150   74400 -100550  -95750  -90600  241550  -99300 -185000
 -196750 -278500   64300   67900 -314350   -6550  -87900   55050 -231050
   70850  -14050 -154400  -12400 -232450 -245900  -88250 -119700 -227000
 -146200  -84600  243200 -218200  -70050  164800 -212850 -118000 -197800
  -17700  -18150  -89550 -153750  -50850 -151750   24650  119600 -205350
  243800 -196400  -28350 -124950   -2150  -13150 -106300  162300 -148850
 -102800  -83450    6600 -155700 -168150  -92650 -277950   49150    3500
  -39350  -80850    6800  -30050  -57950 -228800 -141800 -103650  -95200
   34200  -25200  106000  -36500  144600  -99900 -159800 -201150  -47750
  122600]",-307251.7,-312575.425,-65314.0,119526.87753806672,0.74
8000,200,60000,1500000,1059000,686400,-372600,"[ 432600 -389400 -112800 -219200 -303200 -286200   59600   79800 -569400
  396000  -11400  -34200  211600 -369400 -278200  327600 -407800  124400
  -43600  246800  -66000  212600  183800  -57600 -138600  391800  253000
  133400 -423400  244200  348800   54200 -124000 -418000 -125400  318000
 -106800  179000  326400   71200  -58200   48200 -387000  253200  369800
 -160000  264000  291800   -7000  361800 -149000  281000 -252400  228600
  107200    3200  195800 -192000   70400  386200   34600  -65600  164600
  342000  102600  114800  278600   93400  346600  -48600  177800 -282600
    1400  276600 -468800 -285600  -22200  -41200 -456000 -129400  400200
  -20400   77200 -223000 -221800   49400  274400 -314200  -72800  454800
 -140200 -107200   69200 -240600 -125600 -343400   42600  366800 -138600
 -110600]",15750.0,246807.56289060513,-549481.2000000001,-564420.2999999999,0.48,"[-507400 -484200 -598800 -403400 -652200 -458600 -604200 -734200 -669800
 -802000 -760400 -736200 -657000 -564800 -530200 -492600 -677800 -654200
 -458600 -683200 -625600 -637600 -588800 -667200 -667400 -568800 -590800
 -739200 -467600 -535800 -711000 -665800 -651000 -516000 -505400 -595000
 -565400 -324000 -442000 -547800 -623600 -602800 -583600 -598000 -668200
 -386000 -752800 -483600 -530000 -597400 -609000 -444600 -503000 -691200
 -548400 -482400 -633800 -591800 -679200 -444200 -524600 -631000 -744200
 -586600 -664600 -441400 -433000 -626400 -711800 -726200 -357400 -640000
 -530200 -318000 -737800 -629200 -671800 -797000 -682600 -561400 -611800
 -611800 -731000 -753800 -684800 -779000 -624800 -571400 -848600 -688200
 -755200 -695800 -552000 -591000 -592200 -537600 -470000 -797600 -845800
 -483400]",-848045.6000000001,-848461.4,-604366.0,112917.70119870489,1.0,"[-169400 -106800  -62800  -69000 -167400 -161400  -72400   37800 -163200
 -207800 -101600 -283200  -71200  -58800 -187000 -226600   22600  -13800
 -120200  -33000  -85600 -305200 -186200   39400  -67400  -26000  -92600
  -93800  -73200  -94200 -140400 -257200  -74000  -76800  -85800 -265200
   -3000   23600 -238600   54400  -37000 -170400 -145400  -14400   -2800
 -154400  -96200 -256600  -53400 -174400  -77200  -36800  -79000  -55600
  -23600  -39800   85200  -67800 -101800 -102800 -203800 -148400 -151400
  -78200  -27000 -136800 -153400   86800   -1400  -42800  -60000  -51200
 -269800  -54000  -64000  -85600  -18200  -74600 -201600 -100600 -122400
 -200400 -167800  144400  -39600 -209200 -221800 -295800   18600  -99000
  -10000 -252400   41600 -178400  -97600   42800 -107200  -36800  -61800
  -14400]",-303338.80000000005,-304734.69999999995,-95704.0,90904.30784071787,0.89
8000,200,75000,1500000,1180200,686400,-493800,"[-356000 -379200   -7000 -342000 -398400  273600  461400 -601400 -139600
   19800   25800 -540600 -489400  330400  -57400  -93600 -163000 -681000
  294800  447000  232400  273800 -425800 -203200 -106800   61000 -416800
  -88000 -667200 -309800 -172000 -181000 -405800  184200 -374200 -127800
  -97400  286600 -317200 -194600  172000  373000 -121400 -396000  112200
 -745800  208000    2800 -121200 -284800  -20400 -118200 -616400  -39600
 -345000 -570200 -373800  207200 -509800   23600 -175000  470200   69800
 -282800  221200 -421600  249200 -413000 -257400 -594600  -95000 -282600
  -20200 -361000  362000 -317000 -696200  -16600  274800  155600  317800
 -534000 -434000 -491200 -273800  329400 -316200 -361000  172200 -502200
 -373000 -452200  140400 -562200 -396800  310200  308000 -692600 -184200
  240800]",-144940.0,315848.89361845166,-735979.2,-743344.8,0.67,"[ -969600  -958800  -952600  -921000  -970400 -1019600  -948000  -973600
  -833800  -938600 -1009200  -987600  -838400  -769800  -559800  -880600
  -997200  -777000  -843400  -849600  -924200  -920200  -648400  -871800
  -743400  -924200  -850000 -1058200  -714000  -953000  -811000  -828600
 -1042400  -929400  -846200  -898400  -860400  -880800  -952600  -875200
  -997000  -991200  -759200  -871800  -585200  -623400  -646600 -1096000
  -908000 -1056800  -826200  -782000 -1146400  -665200 -1090400  -933400
  -688800  -796000  -671400  -765200  -688800  -790800  -891000  -882000
  -593200  -926600  -800200  -924000  -762000  -908800 -1108200  -964800
  -716600  -799400  -801800  -503800  -947200  -527800  -798600  -720400
  -873600  -933800 -1049600  -999600  -760800  -815200  -711800  -939200
  -847000  -842000  -932200  -734800 -1018600  -827400  -692200  -976000
  -893600  -791200  -939000  -801000]",-1138836.4000000001,-1144509.0999999999,-858658.0,132049.27048643623,1.0,"[-255400 -268800 -277600 -241400 -466000 -319400 -234200 -213000 -337800
   -8800 -320800 -188600 -356600 -235800  -68400  -78400 -379200 -332200
 -409600 -229400 -255600 -223600 -132000 -220000 -325000 -253400 -188600
 -394200 -113800 -373800 -311600 -247400 -229400 -207200 -100600 -269600
 -296600 -437000 -451600 -277800 -166800  -72600 -412400 -330000  -43600
 -339800 -144800 -233600 -174000 -116000 -136800 -250000 -280600 -280800
 -300800 -243400 -191000  -70400 -463000  -81000 -445000 -326800 -317400
 -101800 -209600 -326800 -512000 -263000 -107800 -176800 -394400 -144400
 -306800 -364800 -283200 -371800  -34200 -378000 -132600 -194400 -368800
 -177400 -315000 -391800 -125400 -298600 -307200 -337000 -299200 -408800
 -325000 -133400 -344400 -388000 -180600 -185400 -181800 -177200 -258600
 -134200]",-502892.0,-509723.0,-255910.0,110266.3588770392,1.0
8000,250,60000,1500000,1129750,686400,-443350,"[-281750  196750   83750 -338500 -294000 -364250 -249000 -299000 -366000
  485750   12000 -142750 -336750  159750 -244500  170500  -16750 -415500
 -175750  398000  -66500   67750  130000 -499500  110500 -493500    9250
  178000  324250 -346750 -462500 -549250  292250  175250 -115500  329250
  -10750   79000   -5500  -56000   57000  247000   70250 -133500 -476750
 -444250  106750   -7000  -48500   72000   65750  249000 -183000  208500
 -196750 -323250   89000  304000 -307250  123500  353250 -159500  274750
  399250 -449500  -84500   10250 -447000 -269000 -340000  158250 -311500
  -10750 -364250   11250   96500  291250  214750  143750  -50750  338250
 -454750  156000 -160000  290250   20250 -428750 -286500 -452250 -336500
 -122500 -410750 -249000 -264750 -373000 -114000 -175250  463500  358250
 -250250]",-64410.0,266434.9323005525,-539399.5,-546787.375,0.56,"[-856500 -711250 -654000 -880250 -679000 -784000 -631000 -512500 -903500
 -669750 -838750 -772500 -914000 -718750 -683250 -714750 -642000 -831250
 -869500 -850500 -808250 -765250 -822500 -788750 -673750 -620750 -831250
 -809250 -774500 -720750 -647500 -812500 -743500 -867250 -827250 -771000
 -671750 -611000 -684250 -578000 -777750 -853500 -725250 -746500 -564000
 -726750 -889500 -797750 -733000 -644500 -523000 -743750 -803000 -654500
 -815750 -834000 -730000 -729250 -741500 -743250 -872250 -836500 -643000
 -693250 -662500 -712250 -684000 -596500 -782250 -654500 -660250 -778750
 -914250 -752250 -746500 -777250 -718750 -633500 -705250 -832500 -720500
 -915750 -773500 -766250 -837000 -860000 -691250 -694250 -722250 -813500
 -646500 -899750 -859250 -763250 -728500 -630500 -904750 -692500 -869000
 -754750]",-915453.0,-915675.75,-749217.5,91150.62160374991,1.0,"[-332250 -105250 -162000 -128000 -207000 -132750 -147250 -254500 -141250
 -233000 -178500 -163250 -154250 -249750 -108750 -130250 -164000 -136000
  -11500  -64000 -324750 -260250 -325500 -298000 -198500 -189250 -175750
 -204250  -99500 -232750 -110750 -208250 -281750 -211000 -216500 -173750
 -348500 -147000 -280250 -137250 -178500 -185500 -237500 -160500  -59000
 -220250  -68750 -258750 -242750 -183250 -172500 -356000  -79750 -275500
 -155250 -191500 -231000  -96500    2500 -332250 -130000 -379000 -198500
 -164500  -51750  -84750 -185000 -389500 -199000 -211750 -124250 -219750
 -199500  -45250  -11250 -203000 -154000 -258250 -104500 -340000 -196000
 -235500 -321000  -29750 -147500 -113250 -272750 -194500 -122250 -176750
 -202000 -316000 -240000 -341750 -218000 -100250 -337750  -98250 -228750
 -123750]",-387421.0,-388980.25,-189787.5,86393.65120626631,0.99
8000,250,75000,1500000,1297250,686400,-610850,"[ -211000  -489000  -712250    27250  -451000  -180750  -269500  -455250
    10500   -99000   216500  -662750  -779500  -953500  -601250  -230750
  -493000  -189750  -327750  -310750    -8250   -26500   432250  -444250
  -540250  -481000  -252000  -297250  -541500  -267500  -201000  -120250
   -81000  -818250   133750  -335250   105250  -674500   212750  -497250
   120250  -353500  -503250   384750  -724250  -912250   338000  -755500
  -519750  -795000  -197250  -371000  -524250  -138750  -818500  -240750
  -786250  -172750  -604000   310750   -59500  -257250  -101250    83250
  -680500  -523250  -333500  -138500  -759750  -283500  -129250  -114250
 -1049250  -807750   -93500  -773250  -548500  -795750   466500  -350500
    44250    39250  -825750  -713750   241750  -663750  -432250  -696000
  -418750  -647750   -19500  -299000  -678000  -433750  -699000  -528000
  -278750   225500  -156500   -72000]",-333887.5,343608.640707346,-1030291.5,-1044510.375,0.83,"[-1051250 -1039250 -1124500  -933000 -1118500  -939500 -1033000 -1111500
 -1083250 -1252250  -852000 -1186000 -1040500 -1281250 -1072750 -1008750
 -1191250 -1116000 -1142000 -1067750  -775250 -1046500 -1035000 -1054250
 -1105500 -1059000 -1371500 -1138750 -1192500  -904000  -852250 -1225000
 -1028250 -1178250 -1110750 -1018250 -1296500 -1002000 -1138000 -1283500
 -1250500 -1035000 -1107000 -1061750 -1129250  -919750  -919500 -1141250
 -1049000  -932750 -1238500 -1216250 -1195750 -1070000 -1146500 -1291250
 -1216500  -902000 -1268750 -1317000  -919250 -1171500 -1169000 -1294000
 -1110500  -970000 -1239750 -1031000 -1003000 -1088250 -1040750 -1063750
 -1085500 -1114000 -1089000 -1193000 -1047250 -1095500  -899500 -1057000
  -954000 -1117000 -1020000 -1094500  -967500 -1161000 -1027000 -1272000
 -1184000  -970500 -1292500 -1032250 -1037500 -1174750 -1052250 -1320000
 -1206500 -1121250 -1142250 -1069750]",-1361303.0,-1368950.75,-1097655.0,117540.04519737093,1.0,"[-618500 -488750 -445000 -456750 -457250 -638000 -532000 -401500 -428750
 -398000 -316000 -451750 -363750 -431750 -378000 -410250 -620500 -382000
 -421750 -517750 -142000 -348500 -285250 -399250 -493500 -449500 -464750
 -310500 -440000 -492250 -454500 -524000 -595000 -187750 -310250 -351750
 -589500 -436250 -283750 -393750 -306000 -400250 -431500 -490500 -421750
 -425750 -468750 -527250 -527000 -416000 -328750 -565500 -448250 -393000
 -530500 -425000 -425500 -533750 -549250 -448750 -528750 -221500 -262250
 -475500 -454250 -372750 -516500 -533250 -423250 -371250 -263000 -184750
 -530750 -603250 -419500 -250500 -583250 -478500 -169000 -637750 -487500
 -520250 -479750 -395750 -537000 -549500 -437000 -530000 -537750 -519750
 -451000 -483750 -368250 -344500 -351500 -434500 -446000 -525750 -440000
 -379500]",-637950.5,-637987.625,-436715.0,103660.35898548683,1.0
8000,300,60000,1500000,1168100,686400,-481700,"[-378200  349900 -301400 -212700  185100  -59900 -202500 -423300 -499800
  -39900  -87200 -266800 -456900  583700 -117500 -259500 -108900   -7900
 -450900 -520200 -431900 -609500 -463700  421900  237200 -320600  109900
 -315500 -533000  273200 -295400  -18100  -59800    2000 -460000  128000
 -270100 -219900 -675500  188700  -20500 -470600   68100  -76600  164400
  321100  260800 -191300 -166100 -407200 -431000 -109200  -64900  291300
  197400   95400 -224500  153800  -45000  -97400 -176200 -592400  120200
  -17800  269300  109200 -538000 -187200 -192400  215800  224900  405500
  385800  399800  -19400  202100 -330900 -534300 -119400 -122100  -29500
  340200 -444600   58900 -227200  -20500 -272000  288000 -669100  -74300
 -286800  -28000 -353400 -489600   22400  154400 -126700   -1900 -343700
 -705600]",-110454.0,290555.07960453903,-699640.2000000001,-704110.05,0.68,"[ -882500  -816200  -780300  -945500  -931300  -833400  -728200  -828500
  -863200  -891200  -853900  -771600  -833500  -805500  -968800  -789400
  -831900  -914800  -855200  -779000  -787600  -907100  -871100 -1041000
  -869500  -935800  -850000  -818600  -867500  -588500  -966700  -888300
  -783600  -841400  -772200  -846900  -952100  -929400  -736400  -895600
  -788100  -854800  -802000  -892000  -944000  -905500  -780000  -907600
  -737000  -820600  -725400 -1019900  -811000  -904100  -900600  -807500
  -711200  -843400  -746700  -696600  -851600  -832200  -846400  -845400
  -829900  -948700  -687000  -667700  -540300  -822900  -832400  -674400
  -710000  -878600  -855500  -771400  -738400  -879800  -719100  -900800
  -850000  -956300  -627600  -951000  -911600  -801000  -777100  -789200
  -700400  -736300  -957900  -773000  -952100  -814300  -983000  -669200
  -961200  -947300  -959900  -970200]",-1036822.2,-1039955.55,-835723.0,94347.97067769927,1.0,"[-255000 -280200 -333700 -149600 -378300 -233200 -174200 -134400 -267800
  -59400 -209100 -327800 -410100 -219900 -339000 -195200 -295400 -161300
 -383400 -328200 -289000 -220000 -379200 -182200 -154400 -127600 -342500
 -249100 -184600 -264500 -380200 -367700 -201700 -399800 -412900 -193900
 -139000 -378400 -224900 -286500 -289900 -235200 -322800 -247100 -150200
 -148800 -244200 -297500 -358700 -292800 -288900 -159400 -192300 -306000
 -329900 -195900 -374200 -227600 -327700 -298800 -412300 -367300 -319300
 -307100 -166300 -162400 -324000 -228600 -195200 -327800 -157600 -278100
 -279900 -285900 -189100 -284100 -182800 -362000 -224500 -288400 -219600
 -301100 -342300 -388500 -254600 -271000 -392900 -330300 -330800 -315800
 -317700 -251000 -277900 -104000 -321700 -157000 -346000 -361800 -102500
 -352500]",-412781.20000000007,-412870.3,-268829.0,82545.48115433092,1.0
8000,300,75000,1500000,1381500,686400,-695100,"[  -45000  -566100  -935700   -96700  -382100  -300200  -157800  -877100
      500   -18800  -203700   -12800  -206500  -560200  -581500  -869400
    39500  -299000  -706500  -428100  -459900  -168200  -775200  -942300
  -873200  -830700  -250200  -308800  -165500   -98700  -755000  -617700
  -359100  -778800  -426100  -613500   -82000  -650500  -459100  -314900
 -1197600  -625900  -555400  -121700  -949600  -476000  -491200  -658500
    25600  -690400 -1230500  -309000  -339400  -861200  -375500 -1048300
  -763600  -630900  -601300  -293400  -821100  -921200  -233600   -84800
  -216200  -438300  -292000  -119700  -720200  -285800    50200  -535200
  -857100   -90900  -447600    82300  -248800  -144900 -1139000  -338500
  -385200  -198700    81300  -577400  -543300   -54300    -6700  -229000
    44600    92600  -583600   135200   -80000  -332200  -228400  -179900
   195500  -592100  -563900  -644100]",-417824.0,328632.42813818605,-1223985.8,-1228871.45,0.9,"[-1554700 -1179600 -1162500 -1325800 -1321600 -1468500 -1118100 -1551400
 -1382500 -1401300 -1366800 -1038400 -1309700 -1481600 -1468600 -1254300
 -1246600 -1307600 -1400000 -1318100 -1324600 -1354800 -1239200 -1297200
 -1362200 -1383600 -1126000 -1186800 -1481000 -1393000 -1349700 -1087500
 -1343600 -1423200  -915500 -1072600 -1060500 -1306700 -1173400 -1344100
 -1336700 -1270000 -1171300 -1626800 -1301500 -1255300 -1220100 -1383800
 -1138700 -1215700 -1252400 -1365600 -1243000 -1396400 -1211800 -1148600
 -1141000 -1304300 -1379800 -1280700 -1390700 -1234300 -1290400 -1538200
 -1159600 -1067500 -1210500 -1329800 -1153800 -1216500 -1373200 -1260300
 -1384400 -1386600 -1269700 -1254500 -1068300 -1344400 -1249700 -1344700
 -1284400 -1227400 -1385700 -1338400 -1556200 -1369900 -1227900 -1276200
 -1431000 -1260800 -1543100 -1406100 -1555700 -1037700 -1106000 -1042700
 -1291500 -1270700 -1223000 -1403400]",-1612821.2000000002,-1623305.2999999998,-1292913.0,133585.87848646278,1.0,"[-651600 -849700 -361400 -447700 -425000 -641200 -465800 -527200 -582600
 -349700 -440600 -568900 -617200 -627000 -567600 -671900 -634900 -320200
 -674800 -652200 -751200 -503400 -539200 -570800 -581100 -517500 -387400
 -544500 -593000 -596100 -583300 -576500 -619600 -540200 -614300 -739600
 -632700 -718800 -463000 -600100 -515900 -597200 -574200 -440800 -672600
 -438800 -578100 -601800 -616800 -597200 -601900 -603600 -716800 -490700
 -593500 -554400 -621300 -651300 -786400 -570700 -657800 -584500 -551500
 -799900 -419900 -749000 -766100 -507700 -657800 -614200 -544400 -688100
 -623600 -676500 -452500 -700500 -665600 -705900 -445000 -598700 -649700
 -718300 -423900 -672000 -199700 -778700 -423100 -744700 -691200 -572600
 -485000 -521000 -506800 -688600 -569000 -823800 -702600 -387200 -395500
